id,משרד,תאריך,כותרת,תקציר,סוג מקור,נושאים,רמת כיסוי,URL
act-publications-sec-29-renewal_decision_05032025,sec-29,2026-08-06,החלטת הממונה בעניין דחיית הפניה לאור בקשת סעדים שאינם בסמכות הממונה,פרסום רשמי של הרשות הממשלתית להתחדשות עירונית באתר gov.il (החלטות). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/renewal_decision_05032025
act-publications-sec-29-renewal_decision_05032025a,sec-29,2026-08-06,החלטת הממונה בעניין הפרת חובת הגילוי והשקיפות על ידי היזמים,פרסום רשמי של הרשות הממשלתית להתחדשות עירונית באתר gov.il (החלטות). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/renewal_decision_05032025a
act-publications-sec-29-renewal_decision_05032025b,sec-29,2026-08-06,החלטת הממונה בעניין היעדר סמכות הממונה לביטול הסכמי ארגון,פרסום רשמי של הרשות הממשלתית להתחדשות עירונית באתר gov.il (החלטות). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/renewal_decision_05032025b
act-publications-sec-29-renewal_decision_11022025,sec-29,2026-08-06,החלטת הממונה בעניין כדאיות העסקה וכן דרישה לייפוי כוח לייצג בפני הממונה,פרסום רשמי של הרשות הממשלתית להתחדשות עירונית באתר gov.il (החלטות). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/renewal_decision_11022025
act-publications-sec-29-renewal_decision_11032025,sec-29,2026-08-06,החלטת הממונה בעניין דחיית פניה בעניין התנהלות המנהלת העירונית והדחה מנציגות הדיירים,פרסום רשמי של הרשות הממשלתית להתחדשות עירונית באתר gov.il (החלטות). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/renewal_decision_11032025
act-publications-sec-29-renewal_decision_16022025a,sec-29,2026-08-06,החלטת הממונה בעניין סמכויות הנציגות והמנהלת העירונית והיעדר סמכות הממונה לדון בעניינים הנוגעים להחלטות רשויות התכנון,פרסום רשמי של הרשות הממשלתית להתחדשות עירונית באתר gov.il (החלטות). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/renewal_decision_16022025a
act-publications-sec-29-renewal_decision_22012025,sec-29,2026-08-06,"החלטת הממונה בעניין הסבר עיקרי ההצעה, כדאיות העסקה ותמורות בעסקת חיזוק",פרסום רשמי של הרשות הממשלתית להתחדשות עירונית באתר gov.il (החלטות). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/renewal_decision_22012025
act-publications-sec-29-renewal_decision_22122024,sec-29,2026-08-06,החלטת הממונה בעניין זכות בחירת הייצוג,פרסום רשמי של הרשות הממשלתית להתחדשות עירונית באתר gov.il (החלטות). התוכן המלא בקישור המקור.,government_page,regulation,direct,https://www.gov.il/he/departments/policies/renewal_decision_22122024
act-publications-sec-29-renewal_decision_22122024a,sec-29,2026-08-06,החלטת הממונה בעניין זכויות אזרחים ותיקים בהליכי התחדשות עירונית,פרסום רשמי של הרשות הממשלתית להתחדשות עירונית באתר gov.il (החלטות). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/renewal_decision_22122024a
act-publications-sec-29-renewal_decision_24032025,sec-29,2026-08-06,החלטת הממונה בעניין חובת עריכת מכרז יזמים ומינוי נציגות וכן התנהלות היזם,פרסום רשמי של הרשות הממשלתית להתחדשות עירונית באתר gov.il (החלטות). התוכן המלא בקישור המקור.,government_page,procurement,direct,https://www.gov.il/he/departments/policies/renewal_decision_24032025
act-publications-sec-33-moag-pro-049,sec-33,2026-08-06,נוהל קיום אירועי סוסים,פרסום רשמי של משרד החקלאות וביטחון המזון באתר gov.il (נהלים רגולטוריים). התוכן המלא בקישור המקור.,government_page,regulation,direct,https://www.gov.il/he/departments/policies/moag-pro-049
act-publications-sec-7-news06082026,sec-7,2026-08-06,"הוראת שעה לפקודת נציבות 04.40.00 - ""חופשות אסירים"" (חופשה מיוחדת לאסיר בתקופת המצב הביטחוני המיוחד) (""חרבות ברזל"") - הארכה מס' 5",פרסום רשמי של שירות בתי הסוהר באתר gov.il (פקודות והוראות). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/news06082026
act-publications-health-mr05-2026,health,2026-08-05,קוצב לב אלחוטי,פרסום רשמי של משרד הבריאות באתר gov.il (חוזרים ונהלים). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/mr05-2026
act-publications-sec-34-73601,sec-34,2026-08-05,"החלטה מס' 73601 - אישור עבור חברת נתיב האור – אורות רבין בע""מ ח.פ. 516176773 לשעבד את הרישיון ונכסי רישיון הייצור אשר הוענק לה עבור יחידה 80",פרסום רשמי של רשות החשמל באתר gov.il (החלטות). התוכן המלא בקישור המקור.,government_page,regulation,direct,https://www.gov.il/he/departments/policies/73601
act-decisions-sec-4-dec4425-2026,sec-4,2026-08-04,הקמת הרשות הלאומית לרום הקרוב לקרקע – תיקון החלטת ממשלה,החלטת ממשלה (4425) · החלטות ממשלה שפורסמה באתר gov.il. הטקסט המלא בקישור המקור.,policy_document,,direct,https://www.gov.il/he/departments/policies/dec4425-2026
act-publications-health-mk03-2026,health,2026-08-04,שיתוף פעולה בין ארגון מגן דוד אדום לבין ארגון איחוד הצלה בהפעלת מערך כוננים,פרסום רשמי של משרד הבריאות באתר gov.il (חוזרים ונהלים). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/mk03-2026
act-publications-sec-5-professional-directives-040826-1,sec-5,2026-08-04,חוזר מס הכנסה מספר 08/2026 - רשות המיסים בנושא: נכס לא מוחשי המשמש לשיווק,פרסום רשמי של רשות המסים בישראל באתר gov.il (חוזרים ונהלים). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/professional-directives-040826-1
act-publications-sec-34-74602,sec-34,2026-08-02,החלטה מס' 74602 – ניהול מתקני אגירה עצמאיים הפועלים באסדרת השוק ברשת החלוקה ומנגנון סטיות,פרסום רשמי של רשות החשמל באתר gov.il (החלטות). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/74602
act-publications-transport-tower-crane-import-procedure,transport,2026-08-02,יבוא עגורני צריח,פרסום רשמי של משרד התחבורה והבטיחות בדרכים באתר gov.il (נהלים והנחיות). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/tower-crane-import-procedure
act-decisions-sec-4-dec4423-2026,sec-4,2026-07-30,מינויים למועצה לביקורת סרטים,החלטת ממשלה (4423) · החלטות ממשלה שפורסמה באתר gov.il. הטקסט המלא בקישור המקור.,policy_document,,direct,https://www.gov.il/he/departments/policies/dec4423-2026
act-publications-sec-4-directive-22-2026,sec-4,2026-07-30,נוהל תמיכה רגשית לעובדים בשירות הציבורי במצבי חירום משבר ומצוקה - 2026,"פרסום רשמי של נציבות שירות המדינה באתר gov.il (חוזרים והוראות מנכ""ל). התוכן המלא בקישור המקור.",government_page,emergency; grants; regulation,direct,https://www.gov.il/he/departments/policies/directive-22-2026
act-publications-sec-5-procedures-300726-1,sec-5,2026-07-30,נייר עמדה מקצועי מספר 08/2026 – רשות המיסים בתחום: אופציות לעובדים בנושא: פריסת הכנסה בתגמול הוני לעובדים,פרסום רשמי של רשות המסים בישראל באתר gov.il (ניירות עמדה). התוכן המלא בקישור המקור.,government_page,regulation,direct,https://www.gov.il/he/departments/policies/procedures-300726-1
act-publications-sec-68-payment-wages-foreign-workers3026,sec-68,2026-07-30,חוזר ראש מינהל - עדכון בעניין תשלום שכר לעובדים זרים,פרסום רשמי של רשות האוכלוסין וההגירה באתר gov.il (חוזרים ונהלים). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/payment-wages-foreign-workers3026
act-publications-sec-68-update-payment-wages-foreign-workers,sec-68,2026-07-30,חוזר ראש מינהל - עדכון בעניין תשלום שכר לעובדים זר,פרסום רשמי של רשות האוכלוסין וההגירה באתר gov.il (חוזרים ונהלים). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/update-payment-wages-foreign-workers
act-publications-transport-digital-tachographs-training-course-26-27,transport,2026-07-30,השתלמות בנושא טכוגרף דיגיטלי לשנת 2026-2027,פרסום רשמי של משרד התחבורה והבטיחות בדרכים באתר gov.il (נהלים והנחיות). התוכן המלא בקישור המקור.,government_page,digital,direct,https://www.gov.il/he/departments/policies/digital-tachographs-training-course-26-27
act-publications-transport-importing-tower-cranes-procedure,transport,2026-07-30,הוראת נוהל מספר H-03-2026 - יבוא עגורני צריח,פרסום רשמי של משרד התחבורה והבטיחות בדרכים באתר gov.il (נהלים והנחיות). התוכן המלא בקישור המקור.,government_page,regulation,direct,https://www.gov.il/he/departments/policies/importing-tower-cranes-procedure
act-publications-health-nd262-2026,health,2026-07-29,סמכויות אחים ואחיות מומחים קליניים באונקולוגיה והמטולוגיה,פרסום רשמי של משרד הבריאות באתר gov.il (חוזרים ונהלים). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/nd262-2026
act-publications-health-sbn01-2026,health,2026-07-29,שירותים בתחום התפתחות הילד - עדכון אוגוסט 2026,פרסום רשמי של משרד הבריאות באתר gov.il (חוזרים ונהלים). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/sbn01-2026
act-publications-sec-4-dec280726,sec-4,2026-07-28,החלטה של ועדת המנכלים לעניין הבאה פרטית בענף הבניין ובתת-ענף שיפוצים,פרסום רשמי של משרד ראש הממשלה באתר gov.il (החלטות). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/dec280726
act-publications-sec-4-summary280726,sec-4,2026-07-28,סיכום דיון בהשתתפות גורמי האכיפה מיולי 2026,פרסום רשמי של משרד ראש הממשלה באתר gov.il (החלטות). התוכן המלא בקישור המקור.,government_page,regulation,direct,https://www.gov.il/he/departments/policies/summary280726
act-publications-sec-5-procedures-280726-1,sec-5,2026-07-28,"נייר עמדה מספר 07/2026 - החבות במס שכר בשל סכומים המשולמים על ידי מלכ""ר לעובדיו השוהים בחו""ל במסגרת שנת שבתון",פרסום רשמי של רשות המסים בישראל באתר gov.il (ניירות עמדה). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/procedures-280726-1
act-decisions-sec-4-dec4422-2026,sec-4,2026-07-27,נסיעת ראש הממשלה לארצות הברית,החלטת ממשלה (4422) · החלטות ממשלה שפורסמה באתר gov.il. הטקסט המלא בקישור המקור.,policy_document,regulation,direct,https://www.gov.il/he/departments/policies/dec4422-2026
act-publications-environment-application,environment,2026-07-27,הנחיות ומתכונת להגשת בקשה להיתר אחוד,פרסום רשמי של המשרד להגנת הסביבה באתר gov.il (נהלים והנחיות). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/application
act-publications-transport-26-0456,transport,2026-07-27,הוראת רישום כללית מספר 26-0456,פרסום רשמי של משרד התחבורה והבטיחות בדרכים באתר gov.il (נהלים והנחיות). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/26-0456
act-publications-transport-guidelines-for-planning-and-conducting-bus,transport,2026-07-27,הנחיות לתכנון וביצוע סקר נוסעים באוטובוסים (סקרי אונבורד),פרסום רשמי של משרד התחבורה והבטיחות בדרכים באתר gov.il (נהלים והנחיות). התוכן המלא בקישור המקור.,government_page,public-transport; regulation,direct,https://www.gov.il/he/departments/policies/guidelines-for-planning-and-conducting-bus
act-decisions-sec-4-dec4411-2026,sec-4,2026-07-26,הארכת תוקף ההכרזה על מצב מיוחד בעורף,החלטת ממשלה (4411) · החלטות ממשלה שפורסמה באתר gov.il. הטקסט המלא בקישור המקור.,policy_document,,direct,https://www.gov.il/he/departments/policies/dec4411-2026
act-decisions-sec-4-dec4412-2026,sec-4,2026-07-26,"הארכת גיוס המילואים לפי סעיף 8 לחוק שירות המילואים, התשס""ח-2008",החלטת ממשלה (4412) · החלטות ממשלה שפורסמה באתר gov.il. הטקסט המלא בקישור המקור.,policy_document,,direct,https://www.gov.il/he/departments/policies/dec4412-2026
act-decisions-sec-4-dec4414-2026,sec-4,2026-07-26,מינויים בשירות החוץ,החלטת ממשלה (4414) · החלטות ממשלה שפורסמה באתר gov.il. הטקסט המלא בקישור המקור.,policy_document,,direct,https://www.gov.il/he/departments/policies/dec4414-2026
act-decisions-sec-4-dec4415-2026,sec-4,2026-07-26,"אצילת סמכות הממשלה לפי סעיף 5 לחוק חסינויות וזכויות יתר (ארגונים בין־לאומיים ומשלחות מיוחדות), התשמ""ג–1983 לוועדת השרים לענייני ביטחון לאומי",החלטת ממשלה (4415) · החלטות ממשלה שפורסמה באתר gov.il. הטקסט המלא בקישור המקור.,policy_document,,direct,https://www.gov.il/he/departments/policies/dec4415-2026
act-decisions-sec-4-dec4416-2026,sec-4,2026-07-26,איסור יבוא של טובין שיוצרו באמצעות עבודת כפייה,החלטת ממשלה (4416) · החלטות ממשלה שפורסמה באתר gov.il. הטקסט המלא בקישור המקור.,policy_document,,direct,https://www.gov.il/he/departments/policies/dec4416-2026
act-decisions-sec-4-dec4417-2026,sec-4,2026-07-26,"הסמכת חברת ""פאוורג'ן בע""מ"" להכין תוכנית לתשתית לאומית לפרויקט אגרו וולטאי ולהגישה לוועדה הארצית לתכנון ולבנייה של תשתיות לאומיות",החלטת ממשלה (4417) · החלטות ממשלה שפורסמה באתר gov.il. הטקסט המלא בקישור המקור.,policy_document,infrastructure,direct,https://www.gov.il/he/departments/policies/dec4417-2026
act-decisions-sec-4-dec4418-2026,sec-4,2026-07-26,"פירוק מרצון של עמותת מתימו""פ - מרכז התעשייה הישראלית למחקר ופיתוח (ע""ר) ותיקון החלטות ממשלה",החלטת ממשלה (4418) · החלטות ממשלה שפורסמה באתר gov.il. הטקסט המלא בקישור המקור.,policy_document,regulation,direct,https://www.gov.il/he/departments/policies/dec4418-2026
act-decisions-sec-4-dec4419-2026,sec-4,2026-07-26,העברת סמכויות הנתונות לפי חוק משר הפנים לראש הממשלה בנושאים דחופים,החלטת ממשלה (4419) · החלטות ממשלה שפורסמה באתר gov.il. הטקסט המלא בקישור המקור.,policy_document,,direct,https://www.gov.il/he/departments/policies/dec4419-2026
act-decisions-sec-4-dec4420-2026,sec-4,2026-07-26,יישום הסכמים קואליציוניים בשנת 2026 – תיקון החלטת הממשלה,החלטת ממשלה (4420) · החלטות ממשלה שפורסמה באתר gov.il. הטקסט המלא בקישור המקור.,policy_document,,direct,https://www.gov.il/he/departments/policies/dec4420-2026
act-decisions-sec-4-dec4421-2026,sec-4,2026-07-26,העתקת תשתית תקשורת פסיבית במסגרת קידום מיזמי תשתית,החלטת ממשלה (4421) · החלטות ממשלה שפורסמה באתר gov.il. הטקסט המלא בקישור המקור.,policy_document,infrastructure,direct,https://www.gov.il/he/departments/policies/dec4421-2026
act-publications-environment-completion_stage,environment,2026-07-26,הנחיות אגף – הנחיות למתכנני המשרד להגנת הסביבה לשלב ההשלמות בבדיקת תסקירי השפעה על הסביבה,פרסום רשמי של המשרד להגנת הסביבה באתר gov.il (נהלים והנחיות). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/completion_stage
act-publications-health-nd260-2026,health,2026-07-26,"החלטה על מתן PARACETAMOL דרך הווריד למבוגרים וילדים כפעולת סיעוד לאחיות ואחים מוסמכים בוגרי קורס על בסיסי ברפואה דחופה ו/או בטיפול נמרץ לסוגיו במחלקה לרפואה דחופה מבוגרים וילדים, במערך הכירורגי ובכירורגית ילדים",פרסום רשמי של משרד הבריאות באתר gov.il (חוזרים ונהלים). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/nd260-2026
act-publications-health-nd261-2026,health,2026-07-26,פעולות סיעוד לאחים ואחיות מוסמכים ולבוגרי השתלמות מוכרת בטיפול נמרץ מבוגרים וילדים בטיפול במטופל הנתמך בטיפול כלייתי חליפי מתמשך CRRT במערך האשפוז,פרסום רשמי של משרד הבריאות באתר gov.il (חוזרים ונהלים). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/nd261-2026
act-publications-sec-5-policy-paper-2025-06-02,sec-5,2026-07-26,"עדכון נוהל רישוי שירותים פיננסיים מוסדרים כהגדרתם בחוק הפיקוח על שירותים פיננסיים (שירותים פיננסיים מוסדרים), התשע""ו-2016, טיוטה","פרסום רשמי של רשות שוק ההון, ביטוח וחיסכון באתר gov.il (נהלים כלליים). התוכן המלא בקישור המקור.",government_page,regulation,direct,https://www.gov.il/he/departments/policies/policy-paper-2025-06-02
act-publications-sec-5-procedures-260726-1,sec-5,2026-07-26,נייר עמדה מקצועי מיסוי מקרקעין מספר 06/26 - רשות המסים הנדון: תחולת הוראת סעיף 19(3א) לחוק מיסוי מקרקעין בעסקאות בהן הרוכש לוקח על עצמו חבות במס המוטלת מכוח חוק על המוכר,פרסום רשמי של רשות המסים בישראל באתר gov.il (ניירות עמדה). התוכן המלא בקישור המקור.,government_page,regulation,direct,https://www.gov.il/he/departments/policies/procedures-260726-1
act-decisions-sec-4-dec4409-2026,sec-4,2026-07-24,"תוספת תקציב בשנת 2026 – סיוע לגופים הפועלים בתחומי התרבות והספורט ומתמודדים עם השלכות מלחמת התקומה, קידום פעילות בתחומי התרבות והספורט וביטול החלטת ממשלה",החלטת ממשלה (4409) · החלטות ממשלה שפורסמה באתר gov.il. הטקסט המלא בקישור המקור.,policy_document,,direct,https://www.gov.il/he/departments/policies/dec4409-2026
act-decisions-sec-4-dec4406-2026,sec-4,2026-07-23,אשרור ההסכם המכונן את קרן ההשקעות הרב-צדדית IV ואת ההסכם בדבר ניהול קרן ההשקעות הרב-צדדית IV,החלטת ממשלה (4406) · החלטות ממשלה שפורסמה באתר gov.il. הטקסט המלא בקישור המקור.,policy_document,,direct,https://www.gov.il/he/departments/policies/dec4406-2026
act-publications-health-fcs-334484326,health,2026-07-23,הודעה לציבור על עדכון מדיניות אכיפה בנושא הבאת פירות וירקות מהאזור – מתן התראה מינהלית חלף עיצום כספי,פרסום רשמי של משרד הבריאות באתר gov.il (נהלים והנחיות). התוכן המלא בקישור המקור.,government_page,regulation,direct,https://www.gov.il/he/departments/policies/fcs-334484326
act-publications-health-uv-disinfection-waste-water-effluent,health,2026-07-23,מדריך לתכנון ובקרה על מערכת חיטוי קולחים ב UV,פרסום רשמי של משרד הבריאות באתר gov.il (נהלים והנחיות). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/uv-disinfection-waste-water-effluent
act-publications-sec-4-tashpav12,sec-4,2026-07-23,הודעה מס' פו/12 -עבודת עובדי המדינה בוועדת הבחירות המרכזית לכנסת ה-26 – הוראות מיוחדות,פרסום רשמי של נציבות שירות המדינה באתר gov.il (הודעות נציבות שירות המדינה). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/tashpav12
act-decisions-sec-4-dec4407-2026,sec-4,2026-07-22,מניעת פגיעה בביטחון המדינה מגוף שידורים זר – ערוץ אלמיאדין,החלטת ממשלה (4407) · החלטות ממשלה שפורסמה באתר gov.il. הטקסט המלא בקישור המקור.,policy_document,,direct,https://www.gov.il/he/departments/policies/dec4407-2026
act-decisions-sec-4-dec4408-2026,sec-4,2026-07-22,מניעת פגיעה בביטחון המדינה מגוף שידורים זר – ערוץ אלג'זירה,החלטת ממשלה (4408) · החלטות ממשלה שפורסמה באתר gov.il. הטקסט המלא בקישור המקור.,policy_document,,direct,https://www.gov.il/he/departments/policies/dec4408-2026
act-publications-sec-29-rehabilitation-partnership-procedure,sec-29,2026-07-22,נוהל שותפות בין יזמים לעניין אישור יזם שיקום,פרסום רשמי של הרשות הממשלתית להתחדשות עירונית באתר gov.il (נהלים והנחיות). התוכן המלא בקישור המקור.,government_page,regulation,direct,https://www.gov.il/he/departments/policies/rehabilitation-partnership-procedure
act-publications-sec-36-educational-counseling,sec-36,2026-07-22,הנחיות ייעוץ חינוכי,פרסום רשמי של משרד העבודה באתר gov.il (נהלים והנחיות). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/educational-counseling
act-publications-sec-68-hotel2207,sec-68,2026-07-22,הודעה על פתיחת הגשת בקשות בענף המלונאות,פרסום רשמי של רשות האוכלוסין וההגירה באתר gov.il (מידע למעסיקים). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/hotel2207
act-publications-transport-26-3161,transport,2026-07-22,הוראת רישום כללית מספר 26-3161,פרסום רשמי של משרד התחבורה והבטיחות בדרכים באתר gov.il (נהלים והנחיות). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/26-3161
act-publications-transport-26-6068,transport,2026-07-22,הוראת רישום כללית מספר 26-6068,פרסום רשמי של משרד התחבורה והבטיחות בדרכים באתר gov.il (נהלים והנחיות). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/26-6068
act-publications-transport-26-6069,transport,2026-07-22,הוראת רישום כללית 26-6069,פרסום רשמי של משרד התחבורה והבטיחות בדרכים באתר gov.il (נהלים והנחיות). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/26-6069
act-publications-transport-26-6070,transport,2026-07-22,הוראת רישום כללית מספר 26-6070,פרסום רשמי של משרד התחבורה והבטיחות בדרכים באתר gov.il (נהלים והנחיות). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/26-6070
act-publications-transport-26-6072,transport,2026-07-22,הוראות רישום כללית מספר 26-6072,פרסום רשמי של משרד התחבורה והבטיחות בדרכים באתר gov.il (נהלים והנחיות). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/26-6072
act-publications-transport-26-6073,transport,2026-07-22,הוראת רישום כללית מספר 26-6073,פרסום רשמי של משרד התחבורה והבטיחות בדרכים באתר gov.il (נהלים והנחיות). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/26-6073
act-publications-transport-26-6074,transport,2026-07-22,הוראת רישום כללית מספר 26-6074,פרסום רשמי של משרד התחבורה והבטיחות בדרכים באתר gov.il (נהלים והנחיות). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/26-6074
